id,legacyId,firstName,lastName,avgRating,numRatings,wouldTakeAgainPercent,avgDifficulty,department
VGVhY2hlci0zMTMwMDIz,3130023,Anhadvir,Anhadvir Singh,4.7,3,100.0,3.7,Biology
VGVhY2hlci0zMTE3NDU1,3117455,Mark,Miller,5.0,2,100.0,3.0,Science
VGVhY2hlci0zMDI4NjM3,3028637,Andrew ,Sabl,3.5,2,100.0,3.5,Political Science
VGVhY2hlci0zMTU3MDQw,3157040,Anastasia,Zabalueva,0.0,0,-1.0,0.0,Classics
VGVhY2hlci0zMDIyODQ1,3022845,Kylie,Luska,5.0,33,100.0,2.7,Chemistry
VGVhY2hlci0zMDEzMTA1,3013105,Jennifer,Peruniak,2.5,4,50.0,3.0,Sociology
VGVhY2hlci0yOTY4Mzc3,2968377,Aryan,Rezaei Rad,1.0,1,0.0,3.0,Engineering
VGVhY2hlci0zMTU5Mzk0,3159394,Friedemann ,Krannich,2.0,1,0.0,3.0,Mathematics
VGVhY2hlci0zMTU5Njcw,3159670,Jeff,Noh,5.0,1,100.0,4.0,English
VGVhY2hlci0yOTY5MTI1,2969125,Ashlee,Brunt,2.0,3,33.3333,3.7,Science
VGVhY2hlci0zMTEzNjc5,3113679,Eric,Hart,1.0,1,0.0,5.0,Mathematics
VGVhY2hlci0yOTIwNDA5,2920409,Paul,Harrison,3.1,8,50.0,2.8,Architecture
VGVhY2hlci0zMTU3ODY4,3157868,Tianna,Peller,3.7,3,66.6667,2.7,Biology
VGVhY2hlci0zMDczNDcw,3073470,Irene,Poetranto,2.0,90,25.5556,3.5,Political Science
VGVhY2hlci0yOTM2NzA4,2936708,Mark,Jeffrey,2.6,10,40.0,3.9,Engineering
VGVhY2hlci0yODcxMDYx,2871061,John,Simpson-Porco,5.0,1,100.0,3.0,Electrical & Computer Engineering
VGVhY2hlci0yODExNTMx,2811531,Ignacio,Uriarte-Tuero,2.0,4,25.0,4.3,Mathematics
VGVhY2hlci0zMTIwMTI3,3120127,Deidre,Flynn,1.4,12,0.0,3.5,English
VGVhY2hlci0zMDI0NjUy,3024652,Abdelhalim , Elamroussy,5.0,7,100.0,1.4,Languages
VGVhY2hlci0yODQ3ODY3,2847867,Omer,Ozcan,3.5,13,69.2308,2.9,Anthropology
VGVhY2hlci0zMDU2NzA0,3056704,Jason,De Melo,3.1,12,50.0,3.7,Biochemistry
VGVhY2hlci0zMDY4MzEx,3068311,Moutaa, El Waer,2.0,8,12.5,4.4,Sociology
VGVhY2hlci0zMDA4MDYw,3008060,Madeleine, Orr,2.5,2,0.0,3.0,Physical Education
VGVhY2hlci0zMTU5Mzc5,3159379,Valentin,Crepel,0.0,0,-1.0,0.0,Physics
VGVhY2hlci0xNzk5Mzkw,1799390,Mark,Hathaway,4.5,34,81.25,2.7,Environment
VGVhY2hlci0zMDQxMDY2,3041066,Tianhao,Xian,3.2,22,45.4545,3.4,Mathematics
VGVhY2hlci0xNjQyNjE1,1642615,Erol,Boran,4.3,16,87.5,2.3,Literature
VGVhY2hlci0yOTg4Mzg4,2988388,Xiang,Li,1.0,7,0.0,4.0,Physics
VGVhY2hlci0yNjIzOTMx,2623931,Eamon,Darnell,2.7,51,41.1765,3.3,Philosophy
VGVhY2hlci0yNjQ1ODUw,2645850,Victor,Falkenheim,5.0,35,100.0,2.3,Political Science
VGVhY2hlci0zMDcwODg3,3070887,David,Zarnett,4.6,9,88.8889,3.4,Political Science
VGVhY2hlci0zMDIyMzU4,3022358,Moaz,Shoura,4.4,23,73.913,3.5,Psychology
VGVhY2hlci0zMTI5NDEx,3129411,Carleigh,Pace-Tonna,3.6,32,62.5,2.6,Psychology
VGVhY2hlci0zMDMzOTE3,3033917,Aya,Sakaya,4.9,27,100.0,2.3,Chemistry
VGVhY2hlci0yMjI3ODEy,2227812,Ali,Feizmohammadi,4.2,22,77.2727,3.6,Mathematics
VGVhY2hlci0zMDg0MjMx,3084231,Amanda,Hargrove,1.3,21,4.7619,4.3,Chemistry
VGVhY2hlci0zMDQzMjY4,3043268,Luke,Mahler,4.2,20,80.0,2.7,Biology
VGVhY2hlci0zMTE2NDc2,3116476,Sabrina,Lin,3.1,13,46.1538,3.1,Mathematics
VGVhY2hlci0yOTE0OTEw,2914910,Niv,Dayan,5.0,9,100.0,3.0,Computer Science
VGVhY2hlci0zMDY2MzM1,3066335,Jessica,D'eon,4.9,7,100.0,2.7,Chemistry
VGVhY2hlci0zMTI4ODk1,3128895,Megan,Frederickson,3.8,6,100.0,3.2,Biology
VGVhY2hlci0zMTMwMzI5,3130329,Mark,Wilson,3.8,4,50.0,2.8,Chemistry
VGVhY2hlci0zMTUzNjY3,3153667,Elden,Elmanto,5.0,2,100.0,4.5,Mathematics
VGVhY2hlci0zMDcyNjMw,3072630,Simeon,Newman,2.5,2,50.0,4.0,Sociology
VGVhY2hlci0yOTUyMzg3,2952387,Shuyang ,Shen,4.3,15,80.0,3.1,Mathematics
VGVhY2hlci0yOTUwNTUy,2950552,Hadi ,El-Shayeb,4.0,11,72.7273,2.6,Architecture
VGVhY2hlci0yOTY3MDgx,2967081,Jennifer,Ross,4.8,5,100.0,2.0,Humanities
VGVhY2hlci0zMDQzMjEw,3043210,Amar,Ghelani,3.7,3,66.6667,3.7,Social Work
VGVhY2hlci0zMDQ0NDEw,3044410,Douglas,Eacho,2.0,5,20.0,2.6,Theater
VGVhY2hlci0zMTU2NjE5,3156619,Daniel,Rubenson,1.8,4,0.0,3.5,Political Science
VGVhY2hlci0zMTI5Njc4,3129678,Galit,Sarfaty,1.0,2,0.0,4.0,Law
VGVhY2hlci0yOTg0MTU3,2984157,Marvin,Morales,1.0,1,0.0,3.0,Chemistry
VGVhY2hlci0yOTg5MDEy,2989012,Samuel,Akinbo,3.2,9,55.5556,3.2,Humanities
VGVhY2hlci0zMTI4Njgy,3128682,Lynette ,Ong,4.0,1,100.0,3.0,Political Science
VGVhY2hlci0yODczMDA0,2873004,Chandra,Murdoch,3.7,7,42.8571,3.3,History
VGVhY2hlci0zMTMyMzU0,3132354,Fern,Ramoutar,4.3,6,83.3333,3.3,Economics
VGVhY2hlci0zMTU1OTY2,3155966,Kayleigh,Swanson,5.0,4,100.0,3.0,Environment
VGVhY2hlci0zMTIxNzc5,3121779,Shahaboddin,Shaabani,1.0,2,0.0,4.0,Mathematics
VGVhY2hlci0yOTIzOTA2,2923906,William,O'Connell ,4.0,2,100.0,3.0,Political Science
VGVhY2hlci0zMTE3MTg4,3117188,Angela,Medina,1.5,38,15.7895,4.5,Criminal Justice
VGVhY2hlci0zMTUwNTA5,3150509,Marcelle,Kitengie,5.0,4,100.0,3.0,Physical Education
VGVhY2hlci0zMTUxMzc3,3151377,Shawn ,Lehman ,5.0,1,100.0,3.0,Anthropology
VGVhY2hlci0zMDIyNDY3,3022467,Gracia,Dong,3.8,23,73.913,3.4,Mathematics
VGVhY2hlci0xNzU4MzQ0,1758344,Paul,Gries,4.9,10,100.0,2.5,Computer Science
VGVhY2hlci0yOTkxOTc0,2991974,Benjamin,Landon,4.3,10,70.0,3.9,Mathematics
VGVhY2hlci0zMTUzNTYy,3153562,Loree,Erickson,3.0,2,50.0,3.0,Women's Studies
